activity_id,deal_id,rep_id,activity_type,activity_date,duration_mins,outcome,notes
A000093,D00223,R004,Meeting,2024-09-02,30,Neutral,Budget approved
A000094,D00921,R002,Meeting,2023-10-17,60,Neutral,Decision deferred
A000095,D00277,R003,Meeting,2024-07-17,120,No Response,Champion confirmed
A000096,D01131,R002,Meeting,2023-03-11,15,No Response,Champion confirmed
A000097,D00420,R005,Demo,2023-10-28,30,Negative,Awaiting legal review
A000098,D00611,R003,Meeting,2024-11-18,120,Positive,Decision deferred
A000099,D00375,R002,Proposal Sent,2024-03-15,60,Negative,
A000100,D00073,R002,Email,2024-12-24,60,No Response,Follow up scheduled
A000101,D01054,R002,Demo,2023-08-16,90,No Response,Awaiting legal review
A000102,D00195,R002,Follow-up,2024-09-25,30,Positive,Stakeholder meeting set
A000103,D01180,R004,Demo,2023-09-08,30,Positive,Stakeholder meeting set
A000104,D01196,R002,Email,2023-09-05,120,Neutral,Decision deferred
A000105,D00847,R003,Call,2023-10-04,90,Neutral,Sent pricing deck
A000106,D01065,R002,Proposal Sent,2024-12-08,60,Neutral,Budget approved
A000107,D01087,R001,Email,2024-01-25,45,Positive,Stakeholder meeting set
A000108,D00023,R004,Meeting,2023-10-04,15,Negative,
A000109,D00360,R005,Follow-up,2023-08-02,45,Positive,Decision deferred
A000110,D01099,R004,Email,2023-11-13,90,Negative,Follow up scheduled
A000111,D00560,R001,Proposal Sent,2023-08-03,45,Positive,Decision deferred
A000112,D00672,R003,Call,2023-04-03,60,Negative,Decision deferred
A000113,D01142,R004,Follow-up,2023-03-06,30,Positive,Decision deferred
A000114,D00679,R002,Follow-up,2024-06-05,30,Neutral,Sent pricing deck
A000115,D00440,R005,Email,2023-08-10,60,Negative,
A000116,D00933,R003,Proposal Sent,2024-03-24,15,No Response,Sent pricing deck
A000117,D00007,R001,Call,2024-07-17,15,Negative,Decision deferred
A000118,D00421,R005,Proposal Sent,2024-04-25,45,Positive,Budget approved
A000119,D00833,R005,Proposal Sent,2024-12-25,60,Neutral,Champion confirmed
A000120,D00559,R001,Demo,2023-09-27,30,No Response,Awaiting legal review
A000121,D01172,R001,Email,2023-05-06,30,Neutral,Decision deferred
A000122,D00914,R005,Email,2024-10-09,30,Negative,Follow up scheduled
A000123,D01007,R004,Demo,2023-10-01,30,Neutral,Budget approved
A000124,D00126,R001,Email,2024-11-06,15,Neutral,Follow up scheduled
A000125,D00395,R003,Email,2023-12-12,60,Neutral,Follow up scheduled
A000126,D00817,R004,Call,2024-01-18,15,Neutral,Champion confirmed
A000127,D00881,R002,Email,2023-04-18,45,Neutral,Follow up scheduled
A000128,D00576,R004,Proposal Sent,2023-07-11,30,Positive,Awaiting legal review
A000129,D00325,R004,Meeting,2024-04-27,30,Positive,Budget approved
A000130,D00930,R003,Proposal Sent,2023-04-10,30,No Response,
A000131,D00833,R005,Proposal Sent,2024-09-29,45,Negative,Awaiting legal review
A000132,D01055,R002,Proposal Sent,2024-01-01,15,Neutral,Follow up scheduled
A000133,D00837,R001,Meeting,2024-09-03,45,Positive,Decision deferred
A000134,D00926,R002,Demo,2024-02-16,90,Negative,Stakeholder meeting set
A000135,D00443,R003,Follow-up,2024-08-06,90,Positive,Champion confirmed
A000136,D00075,R003,Meeting,2024-10-31,120,Positive,
A000137,D00557,R003,Proposal Sent,2024-07-11,15,Positive,Sent pricing deck
A000138,D01179,R005,Meeting,2024-12-17,30,Positive,Follow up scheduled
A000139,D00363,R002,Proposal Sent,2023-08-21,60,Positive,Awaiting legal review
A000140,D00448,R005,Meeting,2023-08-01,60,Positive,Stakeholder meeting set
A000141,D00262,R001,Call,2024-12-30,60,No Response,Budget approved
A000142,D00125,R001,Call,2024-02-08,90,Neutral,Stakeholder meeting set
A000143,D00911,R001,Meeting,2024-10-26,120,Positive,Awaiting legal review
A000144,D00245,R005,Email,2024-04-12,60,Negative,Stakeholder meeting set
A000145,D00542,R004,Meeting,2024-12-17,15,Positive,Follow up scheduled
A000146,D00485,R003,Follow-up,2024-12-26,15,Neutral,Decision deferred
A000147,D00122,R004,Email,2023-11-23,30,Positive,Sent pricing deck
A000148,D00125,R001,Demo,2024-04-18,45,No Response,Champion confirmed
A000149,D00170,R003,Email,2024-12-29,45,Positive,Follow up scheduled
A000150,D00124,R001,Call,2023-11-22,30,No Response,Stakeholder meeting set
A000151,D01059,R003,Call,2023-09-11,30,Positive,Decision deferred
A000152,D01111,R002,Demo,2023-02-22,15,Positive,Stakeholder meeting set
A000153,D00646,R004,Demo,2024-12-30,15,Positive,Champion confirmed
A000154,D00786,R003,Demo,2023-12-17,45,Negative,Follow up scheduled
A000155,D00201,R003,Meeting,2024-11-16,90,Neutral,Budget approved
A000156,D00369,R003,Call,2023-04-25,90,Positive,Champion confirmed
A000157,D00797,R002,Call,2023-09-12,45,Negative,Awaiting legal review
A000158,D00077,R003,Call,2024-11-29,90,Neutral,Follow up scheduled
A000159,D00059,R004,Email,2024-12-09,45,Neutral,Champion confirmed
A000160,D00431,R003,Call,2023-10-10,45,Negative,Sent pricing deck
A000161,D00638,R005,Proposal Sent,2024-01-26,15,Neutral,Stakeholder meeting set
A000162,D00109,R005,Proposal Sent,2023-08-12,60,Positive,Decision deferred
A000163,D01008,R004,Email,2023-10-17,30,Positive,
A000164,D00068,R005,Call,2023-07-11,15,Neutral,Budget approved
A000165,D01093,R003,Demo,2024-06-20,45,Positive,Follow up scheduled
A000166,D01189,R001,Call,2023-12-09,90,Negative,Budget approved
A000167,D00305,R004,Email,2023-05-04,90,Positive,
A000168,D00674,R002,Proposal Sent,2023-03-07,15,Neutral,Decision deferred
A000169,D00365,R005,Meeting,2024-01-04,15,Negative,Sent pricing deck
A000170,D00821,R003,Demo,2024-04-22,30,Negative,Decision deferred
A000171,D00343,R005,Meeting,2023-09-05,45,Neutral,Decision deferred
A000172,D00947,R005,Proposal Sent,2024-11-10,120,No Response,Budget approved
A000173,D00899,R001,Email,2023-09-15,30,Negative,Awaiting legal review
A000174,D01133,R002,Meeting,2024-02-20,30,Positive,Decision deferred
A000175,D00762,R003,Follow-up,2023-11-23,90,No Response,Stakeholder meeting set
A000176,D00341,R005,Call,2024-07-23,45,Positive,Decision deferred
A000177,D00942,R004,Email,2023-12-17,15,Positive,Champion confirmed
A000178,D00383,R005,Demo,2024-12-07,15,Positive,Budget approved
A000179,D01004,R004,Follow-up,2023-10-28,30,Positive,Sent pricing deck
A000180,D00300,R002,Call,2024-08-02,120,Negative,
A000181,D00139,R001,Proposal Sent,2024-12-17,60,Neutral,Budget approved
A000182,D00359,R001,Proposal Sent,2023-07-24,30,Positive,Budget approved
A000183,D00836,R004,Call,2023-06-06,30,No Response,Champion confirmed
A000184,D00483,R003,Demo,2024-10-19,120,Negative,Stakeholder meeting set
A000185,D00909,R001,Proposal Sent,2023-05-03,15,Neutral,Follow up scheduled
A000186,D01135,R003,Proposal Sent,2023-03-10,60,Neutral,Awaiting legal review
A000187,D00866,R003,Follow-up,2024-12-28,60,Negative,Champion confirmed
A000188,D00139,R001,Call,2024-11-29,30,Neutral,Awaiting legal review
A000189,D00996,R004,Email,2024-04-09,45,No Response,Follow up scheduled
A000190,D00435,R004,Demo,2023-05-12,60,Negative,Budget approved
A000191,D00509,R002,Demo,2023-09-30,15,No Response,Stakeholder meeting set
A000192,D00273,R005,Proposal Sent,2023-07-16,45,Negative,Champion confirmed
A000193,D01123,R001,Follow-up,2024-11-15,90,Positive,Stakeholder meeting set
A000194,D00104,R001,Meeting,2024-09-18,120,Negative,Decision deferred
A000195,D00762,R003,Call,2023-10-21,15,Negative,Budget approved
A000196,D00787,R002,Meeting,2024-12-14,30,Neutral,Decision deferred
A000197,D00165,R003,Demo,2024-12-16,30,No Response,Stakeholder meeting set
A000198,D00999,R002,Demo,2024-12-30,15,Negative,Awaiting legal review
A000199,D00520,R004,Proposal Sent,2024-04-10,30,Positive,Stakeholder meeting set
A000200,D00517,R004,Email,2024-01-14,90,Positive,Awaiting legal review
A000201,D00657,R001,Demo,2024-09-16,60,Positive,Awaiting legal review
A000202,D00613,R005,Proposal Sent,2024-11-09,45,No Response,Follow up scheduled
A000203,D00164,R002,Call,2023-05-02,30,Positive,Budget approved
A000204,D00064,R001,Demo,2024-12-23,90,Neutral,Follow up scheduled
A000205,D01115,R003,Email,2024-09-16,90,Negative,Awaiting legal review
A000206,D01141,R004,Call,2023-06-13,120,Neutral,Decision deferred
A000207,D00267,R005,Meeting,2024-12-31,15,Positive,Stakeholder meeting set
A000208,D01164,R001,Email,2023-05-04,90,Positive,Champion confirmed
A000209,D00246,R003,Email,2024-04-03,60,Negative,Follow up scheduled
A000210,D00395,R003,Follow-up,2023-08-25,30,Neutral,Follow up scheduled
A000211,D00476,R005,Email,2024-03-10,90,Positive,Stakeholder meeting set
A000212,D00977,R002,Call,2023-07-30,90,Neutral,Decision deferred
A000213,D01044,R004,Demo,2024-04-30,60,Positive,Champion confirmed
A000214,D00558,R005,Email,2024-03-06,120,Positive,Follow up scheduled
A000215,D01018,R005,Proposal Sent,2024-12-29,30,Neutral,Follow up scheduled
A000216,D00883,R002,Meeting,2024-04-22,45,Neutral,Awaiting legal review
A000217,D00147,R001,Email,2023-12-21,60,No Response,Decision deferred
A000218,D00666,R005,Demo,2024-10-17,30,Negative,Stakeholder meeting set
A000219,D00620,R005,Email,2023-02-20,90,Positive,
A000220,D00820,R002,Call,2024-04-22,45,Neutral,
A000221,D00864,R004,Meeting,2024-08-30,120,Positive,Champion confirmed
A000222,D00582,R003,Email,2024-01-31,30,No Response,Champion confirmed
A000223,D01023,R004,Meeting,2024-10-16,15,Positive,Budget approved
A000224,D00695,R001,Follow-up,2024-11-21,15,No Response,Budget approved
A000225,D01126,R005,Call,2024-08-11,120,Positive,Stakeholder meeting set
A000226,D00407,R003,Demo,2024-07-08,15,No Response,Champion confirmed
A000227,D00399,R002,Call,2023-08-31,60,Neutral,Awaiting legal review
A000228,D00715,R001,Demo,2024-07-25,60,No Response,Follow up scheduled
A000229,D00704,R001,Follow-up,2023-04-01,30,Negative,Budget approved
A000230,D00761,R004,Proposal Sent,2024-08-15,15,Negative,Awaiting legal review
A000231,D00499,R003,Email,2024-11-19,60,Positive,Stakeholder meeting set
A000232,D00974,R005,Proposal Sent,2024-08-16,90,Neutral,Sent pricing deck
A000233,D00082,R002,Meeting,2023-08-20,90,Neutral,Champion confirmed
A000234,D00604,R005,Demo,2023-02-21,120,Positive,Decision deferred
A000235,D00772,R002,Proposal Sent,2023-06-19,30,Neutral,Budget approved
A000236,D00903,R003,Demo,2023-10-19,15,Negative,Decision deferred
A000237,D00365,R005,Demo,2023-12-13,45,Neutral,Stakeholder meeting set
A000238,D00163,R004,Call,2023-09-11,90,Negative,Budget approved
A000239,D01072,R004,Proposal Sent,2023-05-21,15,Positive,Budget approved
A000240,D00511,R002,Proposal Sent,2024-08-11,45,Negative,Awaiting legal review
A000241,D00116,R005,Call,2024-06-04,60,Neutral,Follow up scheduled
A000242,D00941,R001,Follow-up,2024-06-24,60,Positive,Awaiting legal review
A000243,D00337,R002,Follow-up,2023-07-15,45,Positive,Follow up scheduled
A000244,D00881,R002,Proposal Sent,2023-02-20,45,Positive,Stakeholder meeting set
A000245,D00737,R001,Meeting,2024-12-23,120,No Response,Decision deferred
A000246,D00840,R002,Meeting,2024-12-25,120,Positive,Stakeholder meeting set
A000247,D00147,R001,Proposal Sent,2023-12-14,90,Positive,Follow up scheduled
A000248,D00443,R003,Call,2024-10-06,60,Neutral,Budget approved
A000249,D00837,R001,Meeting,2024-08-26,15,Positive,Awaiting legal review
A000250,D01037,R002,Email,2023-07-07,45,Positive,Budget approved
A000251,D00943,R003,Call,2023-11-28,60,Positive,Awaiting legal review
A000252,D00287,R005,Proposal Sent,2024-07-16,60,Negative,Stakeholder meeting set
A000253,D00720,R003,Meeting,2024-01-22,45,No Response,
A000254,D01138,R005,Follow-up,2024-02-10,60,Negative,Awaiting legal review
A000255,D00480,R003,Email,2023-07-31,45,Neutral,Sent pricing deck
A000256,D00022,R004,Demo,2023-07-05,90,Negative,Follow up scheduled
A000257,D00683,R003,Email,2024-05-10,30,Neutral,Decision deferred
A000258,D00906,R002,Email,2023-09-30,15,Negative,Budget approved
A000259,D00320,R005,Email,2024-04-03,120,Neutral,Awaiting legal review
A000260,D00126,R001,Demo,2024-09-06,30,Positive,Awaiting legal review
A000261,D00277,R003,Demo,2024-07-20,15,Positive,Champion confirmed
A000262,D00194,R005,Demo,2023-12-07,60,Neutral,Champion confirmed
A000263,D00696,R001,Email,2024-02-03,60,Neutral,
A000264,D00057,R005,Call,2023-06-07,15,Negative,
A000265,D01187,R005,Email,2023-08-20,90,No Response,Decision deferred
A000266,D00019,R005,Call,2023-08-25,60,Neutral,
A000267,D00264,R001,Proposal Sent,2023-10-06,120,Positive,Sent pricing deck
A000268,D00794,R002,Email,2024-02-01,90,Neutral,Awaiting legal review
A000269,D00113,R003,Call,2024-05-30,90,Negative,Follow up scheduled
A000270,D00542,R004,Meeting,2024-10-31,30,Neutral,Champion confirmed
A000271,D00647,R005,Follow-up,2024-12-03,30,Neutral,
A000272,D00579,R002,Email,2024-04-13,120,Negative,Stakeholder meeting set
A000273,D01089,R005,Email,2024-09-08,120,Neutral,Decision deferred
A000274,D00025,R002,Email,2023-01-18,120,Neutral,Budget approved
A000275,D00001,R003,Proposal Sent,2023-06-09,60,Negative,Sent pricing deck
A000276,D00911,R001,Follow-up,2024-12-14,120,Neutral,Awaiting legal review
A000277,D00141,R005,Call,2023-07-29,30,Negative,Sent pricing deck
A000278,D00648,R005,Call,2023-06-06,90,No Response,Follow up scheduled
A000279,D00188,R003,Call,2024-12-23,90,Neutral,Sent pricing deck
A000280,D01152,R004,Proposal Sent,2024-12-30,90,No Response,
A000281,D00201,R003,Proposal Sent,2024-11-03,30,Neutral,Stakeholder meeting set
A000282,D01151,R001,Call,2024-03-16,30,Neutral,
A000283,D00257,R001,Email,2024-08-18,90,Neutral,Budget approved
A000284,D00547,R005,Demo,2024-11-18,30,Neutral,Budget approved
A000285,D00194,R005,Email,2023-11-01,30,Negative,Champion confirmed
A000286,D00703,R002,Email,2024-08-21,120,Negative,Stakeholder meeting set
A000287,D01128,R003,Follow-up,2023-07-05,120,Neutral,Follow up scheduled
A000288,D00802,R002,Demo,2024-04-06,45,Negative,Awaiting legal review
A000289,D00942,R004,Email,2023-11-14,60,Neutral,Sent pricing deck
A000290,D00414,R004,Demo,2024-09-24,90,Neutral,Follow up scheduled
A000291,D01099,R004,Demo,2023-11-05,90,Neutral,Budget approved
A000292,D00910,R002,Proposal Sent,2024-09-03,90,Negative,Budget approved
A000293,D00188,R003,Email,2024-11-24,120,Positive,Sent pricing deck
A000294,D00045,R001,Follow-up,2023-06-12,90,Positive,
A000295,D00083,R001,Email,2024-09-17,60,Neutral,Budget approved
A000296,D01147,R004,Follow-up,2024-11-15,15,Positive,Follow up scheduled
A000297,D00358,R001,Meeting,2023-11-01,120,No Response,Decision deferred
A000298,D01090,R002,Proposal Sent,2024-12-27,15,Positive,Champion confirmed
A000299,D00936,R005,Meeting,2024-08-11,15,Positive,Follow up scheduled
A000300,D00375,R002,Proposal Sent,2024-06-15,30,Neutral,Budget approved
A000301,D00162,R004,Meeting,2024-03-09,15,Positive,Follow up scheduled
A000302,D00322,R004,Follow-up,2023-06-30,15,Neutral,Awaiting legal review
A000303,D00450,R002,Proposal Sent,2024-09-11,30,Neutral,Awaiting legal review
A000304,D01037,R002,Call,2023-06-13,120,No Response,Budget approved
A000305,D00184,R003,Demo,2024-10-16,90,Positive,Follow up scheduled
A000306,D00111,R001,Email,2024-08-19,60,Positive,Stakeholder meeting set
A000307,D00508,R004,Call,2024-03-15,120,Neutral,Budget approved
A000308,D00295,R004,Email,2024-09-19,60,Neutral,Awaiting legal review
A000309,D00904,R001,Proposal Sent,2023-12-14,120,Positive,Awaiting legal review
A000310,D00974,R005,Email,2024-11-21,30,Negative,Awaiting legal review
A000311,D00632,R002,Call,2023-03-25,15,Neutral,Decision deferred
A000312,D01051,R001,Email,2024-09-24,30,Neutral,
A000313,D00733,R005,Follow-up,2024-01-10,30,No Response,Awaiting legal review
A000314,D00321,R002,Follow-up,2023-08-26,45,Positive,Champion confirmed
A000315,D00913,R002,Proposal Sent,2023-10-02,60,Neutral,Decision deferred
A000316,D00437,R005,Demo,2023-07-01,45,No Response,
A000317,D00781,R003,Email,2023-07-03,15,Positive,Budget approved
A000318,D01077,R005,Follow-up,2023-07-04,120,Positive,Decision deferred
A000319,D00726,R001,Demo,2024-06-21,30,Neutral,Follow up scheduled
A000320,D00031,R004,Email,2023-04-17,30,No Response,
A000321,D00337,R002,Call,2023-05-29,15,Positive,Budget approved
A000322,D00183,R004,Meeting,2023-11-13,60,Negative,Follow up scheduled
A000323,D01047,R005,Proposal Sent,2024-05-16,60,Neutral,
A000324,D00544,R003,Call,2023-04-15,45,Positive,Stakeholder meeting set
A000325,D01098,R004,Follow-up,2024-03-12,45,Positive,Stakeholder meeting set
A000326,D01034,R004,Follow-up,2023-12-29,60,Positive,Sent pricing deck
A000327,D00660,R001,Proposal Sent,2024-07-11,60,Negative,Budget approved
A000328,D00160,R002,Email,2024-12-27,30,No Response,Budget approved
A000329,D01038,R002,Proposal Sent,2024-12-14,30,Positive,
A000330,D00412,R002,Call,2023-03-31,90,Positive,Awaiting legal review
A000331,D01012,R003,Call,2023-03-04,30,No Response,Champion confirmed
A000332,D00053,R003,Email,2023-07-10,60,Neutral,
A000333,D00408,R005,Proposal Sent,2024-08-24,90,Neutral,Sent pricing deck
A000334,D00847,R003,Demo,2023-08-21,90,Positive,
A000335,D01046,R003,Follow-up,2023-08-19,30,Positive,Follow up scheduled
A000336,D01054,R002,Call,2023-06-07,90,Neutral,Decision deferred
A000337,D00703,R002,Meeting,2024-05-21,90,Neutral,Follow up scheduled
A000338,D00260,R005,Meeting,2023-03-12,60,Positive,
A000339,D01083,R001,Proposal Sent,2023-09-01,90,Neutral,Champion confirmed
A000340,D00776,R002,Demo,2024-07-18,60,Neutral,Decision deferred
A000341,D01036,R002,Follow-up,2024-12-28,90,Negative,Champion confirmed
A000342,D00850,R003,Demo,2023-09-19,90,Negative,Awaiting legal review
A000343,D00354,R005,Proposal Sent,2024-07-09,60,Negative,
A000344,D01099,R004,Call,2023-12-06,45,No Response,Awaiting legal review
A000345,D00873,R004,Demo,2023-01-09,15,Positive,Decision deferred
A000346,D00991,R002,Proposal Sent,2023-12-30,45,No Response,Champion confirmed
A000347,D01018,R005,Demo,2024-09-13,30,Neutral,Champion confirmed
A000348,D01178,R003,Proposal Sent,2024-06-03,15,Positive,Decision deferred
A000349,D01120,R001,Email,2024-11-26,15,Positive,Sent pricing deck
A000350,D00294,R001,Demo,2024-08-25,15,Neutral,
A000351,D00209,R004,Meeting,2023-05-23,30,Negative,Sent pricing deck
A000352,D01112,R001,Demo,2023-07-29,120,Neutral,Champion confirmed
A000353,D00818,R001,Email,2023-08-13,45,Negative,Sent pricing deck
A000354,D00390,R002,Demo,2024-11-12,15,Positive,
A000355,D00325,R004,Call,2024-02-22,120,Negative,
A000356,D00940,R003,Email,2024-12-16,90,Neutral,Awaiting legal review
A000357,D00889,R003,Demo,2024-05-16,120,Positive,Decision deferred
A000358,D01181,R001,Follow-up,2023-08-26,120,Positive,Follow up scheduled
A000359,D00668,R003,Proposal Sent,2024-09-01,120,Neutral,Follow up scheduled
A000360,D00633,R002,Call,2023-12-06,30,Positive,Champion confirmed
A000361,D00577,R005,Proposal Sent,2023-03-09,60,No Response,Awaiting legal review
A000362,D00137,R002,Email,2023-03-19,90,No Response,Awaiting legal review
A000363,D00428,R003,Proposal Sent,2023-05-01,90,No Response,Follow up scheduled
A000364,D00612,R001,Demo,2023-06-27,60,Neutral,Follow up scheduled
A000365,D00911,R001,Meeting,2024-11-03,120,Positive,Follow up scheduled
A000366,D00819,R001,Proposal Sent,2024-12-23,60,Neutral,Awaiting legal review
A000367,D00141,R005,Demo,2023-08-21,60,Positive,Budget approved
A000368,D01107,R005,Demo,2024-10-03,30,Negative,Budget approved
A000369,D00177,R005,Demo,2023-09-21,15,Negative,Stakeholder meeting set
A000370,D00198,R004,Email,2024-04-15,120,Positive,Stakeholder meeting set
A000371,D00624,R003,Email,2024-12-19,15,Positive,
A000372,D00691,R002,Call,2023-08-16,120,Positive,
A000373,D00401,R004,Email,2023-06-01,30,Neutral,Decision deferred
A000374,D00471,R002,Call,2024-03-02,120,Positive,Sent pricing deck
A000375,D00218,R002,Call,2023-06-08,90,Neutral,Champion confirmed
A000376,D00929,R004,Email,2023-06-16,30,Positive,Decision deferred
A000377,D00632,R002,Demo,2023-05-17,45,Positive,
A000378,D00951,R005,Proposal Sent,2023-12-27,90,Positive,Budget approved
A000379,D00906,R002,Meeting,2023-09-20,15,Neutral,Awaiting legal review
A000380,D00175,R005,Call,2023-11-13,30,Positive,Sent pricing deck
A000381,D00023,R004,Email,2023-12-09,120,Negative,Awaiting legal review
A000382,D00235,R002,Email,2023-11-28,90,Positive,
